Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Makanan Minuman Jadi Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Indragiri Hilir,41355,249,1116,1341,1402,3070,184,298,720,6211,1595,128,1837,1412,454,1126,3168,326,4112,489,1059,896,130,308,955,409,1322,538,555,3181,1041,1612,113
Pelalawan,42383,383,1341,593,1218,3386,227,516,944,2414,1954,260,4772,534,517,1715,4922,501,3111,682,742,1085,438,775,508,327,2719,937,812,2423,1206,401,22
Siak,48175,363,1433,878,1516,3141,66,432,1030,4680,2157,2382,4097,1025,499,1873,4491,648,3161,379,1369,1421,483,844,697,495,2866,500,687,2200,1400,908,55
Kampar,46647,286,1633,558,1251,3097,87,572,1208,3699,2726,229,4338,813,447,4934,4487,725,2280,196,1312,1746,451,1225,341,224,1601,588,504,3028,1635,423,3
Rokan Hulu,49887,237,1167,674,934,3476,144,369,1704,2645,2607,2441,3544,1312,443,3480,5330,659,2837,276,1508,1317,250,2174,697,304,1969,545,389,3844,1403,1127,81
Bengkalis,58839,689,1279,1115,2861,3618,57,816,1428,4536,3147,2950,6180,903,960,2329,5240,1511,2061,1171,2031,1208,279,1128,598,768,2159,703,582,3855,1593,1084,1
Rokan Hilir,39787,99,1461,908,1473,3523,58,330,545,2709,2059,317,2506,543,378,1625,4935,856,2883,508,731,1570,68,674,603,432,1900,730,752,2351,1217,996,47
Kepulauan Meranti,36900,444,1358,1263,2630,3338,84,178,1106,2412,1058,235,5207,484,458,801,2140,502,2833,739,1485,707,163,310,140,100,460,300,524,3467,769,1204,-
Kota Pekanbaru,76464,684,2960,1598,1974,3049,240,955,1822,16654,3800,137,6837,1822,437,2374,4784,556,2609,1353,3102,1308,1692,1458,1569,1075,3407,920,954,3712,1386,1210,25
Kota Dumai,52276,476,1936,1224,1928,2871,166,585,796,7430,1923,136,5903,788,558,1714,3846,417,2230,564,1432,2591,496,1106,1341,474,3211,660,700,2229,1413,1046,86
